GenomeA	GenomeB	Mean_AAI
Nitrincola nitratireducens AK23	Moraxella osloensis CCUG 350	52.33
Nitrincola nitratireducens AK23	Zymobacter palmae DSM 10491	54.48
Nitrincola nitratireducens AK23	Acinetobacter equi 114	53.30
Nitrincola nitratireducens AK23	Marinobacter hydrocarbonoclasticus ATCC 49840	56.80
Nitrincola nitratireducens AK23	Pseudomonas borbori DSM 17834	56.84
Nitrincola nitratireducens AK23	Marinagarivorans algicola Z1	55.81
Nitrincola nitratireducens AK23	Acinetobacter beijerinckii CIP 110307	52.90
Nitrincola nitratireducens AK23	Halomonas shengliensis CGMCC 1.6444	57.35
Nitrincola nitratireducens AK23	Marinobacter segnicrescens CGMCC 1.6489	57.08
Nitrincola nitratireducens AK23	Alcanivorax hongdengensis A-11-3	55.99
Nitrincola nitratireducens AK23	Moraxella ovis 199/55	52.23
Nitrincola nitratireducens AK23	Carnimonas nigrificans ATCC BAA-78	55.39
Nitrincola nitratireducens AK23	Pseudomonas mendocina ymp	56.90
Nitrincola nitratireducens AK23	Acinetobacter nectaris CIP 110549	52.95
Nitrincola nitratireducens AK23	Marinobacter adhaerens HP15	56.79
Nitrincola nitratireducens AK23	Pseudomonas kuykendallii NRRL B-59562	56.65
Nitrincola nitratireducens AK23	Halomonas halocynthiae DSM 14573	56.74
Nitrincola nitratireducens AK23	Acinetobacter towneri CIP 107472	53.43
Nitrincola nitratireducens AK23	Halomonas pantelleriensis AAP	57.08
Nitrincola nitratireducens AK23	Marinimicrobium agarilyticum DSM 16975	56.34
Nitrincola nitratireducens AK23	Acinetobacter soli GFJ2	53.19
Nitrincola nitratireducens AK23	Alcanivorax jadensis T9	55.88
Nitrincola nitratireducens AK23	Pseudomonas otitidis DSM 17224	56.46
Nitrincola nitratireducens AK23	Kushneria aurantia DSM 21353	54.93
Nitrincola nitratireducens AK23	Acinetobacter defluvii WCHA30	52.92
Nitrincola nitratireducens AK23	Marinomonas aquimarina CECT 5080	56.62
Nitrincola nitratireducens AK23	Marinobacter salarius R9SW1	56.91
Nitrincola nitratireducens AK23	Microbulbifer marinus CGMCC 1.10657	56.42
Nitrincola nitratireducens AK23	Moraxella cuniculi DSM 21768	51.85
Nitrincola nitratireducens AK23	Pseudomonas fuscovaginae LMG 2158	56.21
Nitrincola nitratireducens AK23	Acinetobacter radioresistens CIP 103788	53.13
Nitrincola nitratireducens AK23	Oblitimonas alkaliphila B4199	57.52
Nitrincola nitratireducens AK23	Hahella ganghwensis DSM 17046	56.65
Nitrincola nitratireducens AK23	Pseudomonas sagittaria JCM 18195	57.69
Nitrincola nitratireducens AK23	Halomonas boliviensis LC1	57.13
Nitrincola nitratireducens AK23	Ventosimonas gracilis CV58	56.29
Nitrincola nitratireducens AK23	Halomonas salina B6	57.19
Nitrincola nitratireducens AK23	Marinobacter subterrani JG233	57.24
Nitrincola nitratireducens AK23	Moraxella catarrhalis BBH18	52.13
Nitrincola nitratireducens AK23	Mangrovitalea sediminis M11-4	56.83
Nitrincola nitratireducens AK23	Halomonas daqiaonensis CGMCC 1.9150	57.13
Nitrincola nitratireducens AK23	Acinetobacter parvus CIP 108168	53.32
Nitrincola nitratireducens AK23	Neptunomonas phycophila CECT 8716	61.72
Nitrincola nitratireducens AK23	Pseudomonas oryzae KCTC 32247	57.84
Nitrincola nitratireducens AK23	Halomonas xinjiangensis TRM 0175	57.17
Nitrincola nitratireducens AK23	Dasania marina DSM 21967	56.02
Nitrincola nitratireducens AK23	Halomonas taeanensis BH539	56.76
Nitrincola nitratireducens AK23	Teredinibacter turnerae T7901	55.44
Nitrincola nitratireducens AK23	Marinobacterium profundum PAMC 27536	62.52
Nitrincola nitratireducens AK23	Marinomonas mediterranea MMB-1	56.30
Nitrincola nitratireducens AK23	Pseudomonas resinovorans NBRC 106553	56.81
Nitrincola nitratireducens AK23	Acinetobacter indicus CIP 110367	53.43
Nitrincola nitratireducens AK23	Pseudomonas fulva 12-X	56.24
Nitrincola nitratireducens AK23	Tamilnaduibacter salinus DSM 28688	56.47
Nitrincola nitratireducens AK23	Terasakiispira papahanaumokuakeensis PH27A	56.65
Nitrincola nitratireducens AK23	Nitrincola lacisaponensis 4CA	72.23
Nitrincola nitratireducens AK23	Psychrobacter phenylpyruvicus DSM 7000	52.20
Nitrincola nitratireducens AK23	Neptuniibacter caesariensis MED92	61.89
Nitrincola nitratireducens AK23	Marinobacter antarcticus CGMCC 1.10835	57.01
Nitrincola nitratireducens AK23	Acinetobacter apis ANC 5114	53.25
Nitrincola nitratireducens AK23	Cobetia crustatorum JO1	56.31
Nitrincola nitratireducens AK23	Acinetobacter schindleri ACE	53.41
Nitrincola nitratireducens AK23	Halomonas cupida DSM 4740	56.05
Nitrincola nitratireducens AK23	Spongiibacter tropicus DSM 19543	56.58
Nitrincola nitratireducens AK23	Neptuniibacter marinus ATR 1.1	62.30
Nitrincola nitratireducens AK23	Psychrobacter pacificensis DSM 23406	52.09
Nitrincola nitratireducens AK23	Pseudomonas xinjiangensis NRRL B-51270	57.09
Nitrincola nitratireducens AK23	Marinobacterium georgiense DSM 11526	65.59
Nitrincola nitratireducens AK23	Acinetobacter johnsonii XBB1	52.76
Nitrincola nitratireducens AK23	Marinobacterium jannaschii DSM 6295	61.72
Nitrincola nitratireducens AK23	Halomonas anticariensis FP35	56.93
Nitrincola nitratireducens AK23	Pseudomonas sabulinigri JCM 14963	56.92
Nitrincola nitratireducens AK23	Pseudohaliea rubra DSM 19751	56.20
Nitrincola nitratireducens AK23	Pseudomonas saudimassiliensis 12M76 air	57.69
Nitrincola nitratireducens AK23	Marinomonas profundimaris D104	56.29
Nitrincola nitratireducens AK23	Halotalea alkalilenta IHB B 13600	54.81
Nitrincola nitratireducens AK23	Perlucidibaca piscinae DSM 21586	55.70
Nitrincola nitratireducens AK23	Alcanivorax pacificus W11-5	55.94
Nitrincola nitratireducens AK23	Marinobacter salinus Hb8	57.13
Nitrincola nitratireducens AK23	Kangiella sediminilitoris KCTC 23892	53.79
Nitrincola nitratireducens AK23	Pseudomonas zeshuii KACC 15471	56.47
Nitrincola nitratireducens AK23	Alcanivorax dieselolei B5	54.86
Nitrincola nitratireducens AK23	Psychrobacter alimentarius PAMC 27889	51.91
Nitrincola nitratireducens AK23	Marinobacter persicus IBRC-M 10445	56.87
Nitrincola nitratireducens AK23	Marinomonas polaris DSM 16579	56.55
Nitrincola nitratireducens AK23	Pseudomonas formosensis JCM 18415	57.62
Nitrincola nitratireducens AK23	Halomonas elongata HEK1	56.77
Nitrincola nitratireducens AK23	Rugamonas rubra ATCC 43154	50.59
Nitrincola nitratireducens AK23	Halomonas aestuarii Hb3	57.33
Marinobacter nitratireducens AK21	Marinobacter mobilis CGMCC 1.7059	73.63
Marinobacter nitratireducens AK21	Microbulbifer mangrovi DD-13	56.52
Marinobacter nitratireducens AK21	Cobetia marina JCM 21022	56.75
Marinobacter nitratireducens AK21	Simiduia agarivorans SA1 = DSM 21679	54.97
Marinobacter nitratireducens AK21	Pseudomonas salegens CECT 8338	57.70
Marinobacter nitratireducens AK21	Pseudomonas stutzeri CGMCC 1.1803	57.10
Marinobacter nitratireducens AK21	Pseudomonas nitroreducens NBRC 12694	56.34
Marinobacter nitratireducens AK21	Acinetobacter tandoii CIP 107469	52.79
Marinobacter nitratireducens AK21	Oleiphilus messinensis ME102	59.24
Marinobacter nitratireducens AK21	Pseudomonas guineae LMG 24016	56.72
Marinobacter nitratireducens AK21	Pseudomonas guangdongensis CCTCC 2012022	57.58
Marinobacter nitratireducens AK21	Gilvimarinus chinensis DSM 19667	56.35
Marinobacter nitratireducens AK21	Pseudomonas pachastrellae JCM 12285	57.83
Marinobacter nitratireducens AK21	Marinobacter zhejiangensis CGMCC 1.7061	73.58
Marinobacter nitratireducens AK21	Spongiibacter marinus DSM 19753	55.98
Marinobacter nitratireducens AK21	Acinetobacter bouvetii CIP 107468	52.76
Marinobacter nitratireducens AK21	Cellvibrio mixtus J3-8	55.66
Marinobacter nitratireducens AK21	Marinobacter lipolyticus SM19	78.47
Marinobacter nitratireducens AK21	Pseudomonas rhizosphaerae DSM 16299	56.49
Marinobacter nitratireducens AK21	Marinobacterium stanieri DSM 7027	57.93
Marinobacter nitratireducens AK21	Moraxella caprae DSM 19149	51.75
Marinobacter nitratireducens AK21	Hahella chejuensis KCTC 2396	58.66
Marinobacter nitratireducens AK21	Acinetobacter harbinensis HITLi 7	52.83
Marinobacter nitratireducens AK21	Saccharospirillum impatiens DSM 12546	55.82
Marinobacter nitratireducens AK21	Psychrobacter arcticus 273-4	52.40
Marinobacter nitratireducens AK21	Perlucidibaca aquatica BK296	55.44
Marinobacter nitratireducens AK21	Marinospirillum celere DSM 18438	57.09
Marinobacter nitratireducens AK21	Halomonas muralis DSM 14789	57.04
Marinobacter nitratireducens AK21	Halomonas campaniensis LS21	57.08
Marinobacter nitratireducens AK21	Pseudomonas taeanensis MS-3	56.54
Marinobacter nitratireducens AK21	Pseudomonas pohangensis DSM 17875	56.93
Marinobacter nitratireducens AK21	Alkanindiges illinoisensis DSM 15370	53.73
Marinobacter nitratireducens AK21	Acinetobacter qingfengensis ANC 4671	52.92
Marinobacter nitratireducens AK21	Acinetobacter baumannii AB030	52.93
Marinobacter nitratireducens AK21	Endozoicomonas atrinae WP70	56.09
Marinobacter nitratireducens AK21	Marinobacterium rhizophilum DSM 18822	57.65
Marinobacter nitratireducens AK21	Halomonas smyrnensis AAD6	58.01
Marinobacter nitratireducens AK21	Pseudomonas azotifigens DSM 17556	57.14
Marinobacter nitratireducens AK21	Neptunomonas qingdaonensis CGMCC 1.10971	56.75
Marinobacter nitratireducens AK21	Azotobacter vinelandii CA	56.78
Marinobacter nitratireducens AK21	Endozoicomonas montiporae CL-33	56.58
Marinobacter nitratireducens AK21	Marinobacter santoriniensis NKSG1	79.62
Marinobacter nitratireducens AK21	Moraxella oblonga NBRC 102422	51.50
Marinobacter nitratireducens AK21	Cellvibrio japonicus Ueda107	55.76
Marinobacter nitratireducens AK21	Microbulbifer agarilyticus GP101	56.29
Marinobacter nitratireducens AK21	Acinetobacter gyllenbergii NIPH 230	52.50
Marinobacter nitratireducens AK21	Acinetobacter boissieri ANC 4422	52.64
Marinobacter nitratireducens AK21	Bermanella marisrubri RED65	55.91
Marinobacter nitratireducens AK21	Marinomonas ushuaiensis DSM 15871	55.35
Marinobacter nitratireducens AK21	Pseudomonas marincola JCM 14761	56.40
Marinobacter nitratireducens AK21	Acinetobacter rudis DSM 24031	52.44
Marinobacter nitratireducens AK21	Pseudomonas litoralis 2SM5	57.41
Marinobacter nitratireducens AK21	Oceanicoccus sagamiensis NBRC 107125	55.51
Marinobacter nitratireducens AK21	Marinomonas posidonica IVIA-Po-181	55.32
Marinobacter nitratireducens AK21	Acinetobacter populi PBJ7	53.04
Marinobacter nitratireducens AK21	Moraxella nonliquefaciens CCUG 348	51.30
Marinobacter nitratireducens AK21	Congregibacter litoralis KT71	54.54
Marinobacter nitratireducens AK21	Halomonas zincidurans B6	57.08
Marinobacter nitratireducens AK21	Acinetobacter larvae BRTC-1	53.02
Marinobacter nitratireducens AK21	Pseudomonas hussainii JCM 19513	57.22
Marinobacter nitratireducens AK21	Pseudomonas caeni DSM 24390	57.01
Marinobacter nitratireducens AK21	Kushneria marisflavi SW32	54.92
Marinobacter nitratireducens AK21	Acinetobacter junii 65	52.89
Marinobacter nitratireducens AK21	Halomonas lutea DSM 23508	57.18
Marinobacter nitratireducens AK21	Halomonas saccharevitans CGMCC 1.6493	57.37
Marinobacter nitratireducens AK21	Haliea salexigens DSM 19537	55.02
Marinobacter nitratireducens AK21	Pseudomonas protegens CHA0	55.87
Marinobacter nitratireducens AK21	Alcanivorax borkumensis SK2	56.71
Marinobacter nitratireducens AK21	Halioglobus pacificus RR3-57	54.74
Marinobacter nitratireducens AK21	Marinomonas atlantica Cmf 18.22	55.24
Marinobacter nitratireducens AK21	Chromohalobacter salexigens DSM 3043	56.81
Marinobacter nitratireducens AK21	Pseudomonas aestusnigri VGXO14	57.56
Marinobacter nitratireducens AK21	Halomonas subterranea CGMCC 1.6495	57.03
Marinobacter nitratireducens AK21	Halomonas desiderata SP1	57.53
Marinobacter nitratireducens AK21	Gilvimarinus agarilyticus JEA5	55.97
Marinobacter nitratireducens AK21	Pseudomonas psychrotolerans PRS08-11306	56.36
Marinobacter nitratireducens AK21	Chromohalobacter japonicus CJ	57.18
Marinobacter nitratireducens AK21	Marinobacter excellens HL-55	77.43
Marinobacter nitratireducens AK21	Moraxella lincolnii CCUG 9405	52.11
Marinobacter nitratireducens AK21	Acinetobacter gerneri CIP 107464	52.68
Marinobacter nitratireducens AK21	Saccharophagus degradans 2-40	55.42
Marinobacter nitratireducens AK21	Halioglobus japonicus NBRC 107739	55.51
Marinobacter nitratireducens AK21	Halomonas utahensis P-halo	61.93
Marinobacter nitratireducens AK21	Gynuella sunshinyii YC6258	55.06
Marinobacter nitratireducens AK21	Pseudomonas pelagia CL-AP6	57.57
Marinobacter nitratireducens AK21	Halomonas jeotgali Hwa	56.67
Marinobacter nitratireducens AK21	Microbulbifer variabilis ATCC 700307	55.93
Marinobacter nitratireducens AK21	Amphritea japonica JAMM 1866	57.07
Marinobacter nitratireducens AK21	Aidingimonas halophila DSM 19219	57.00
Marinobacter nitratireducens AK21	Psychrobacter urativorans R10.10B	52.11
Marinobacter nitratireducens AK21	Endozoicomonas numazuensis DSM 25634	56.03
Marinobacter nitratireducens AK21	Moraxella porci CCUG 54912	51.85
Marinobacter nitratireducens AK21	Oceanobacter kriegii DSM 6294	55.87
Marinobacter nitratireducens AK21	Pseudomonas fluorescens F113	55.99
Marinobacter nitratireducens AK21	Pseudomonas indica NBRC 103045	57.20
Marinobacter nitratireducens AK21	Pseudomonas balearica DSM6083 (=SP1402)	57.33
Marinobacter nitratireducens AK21	Acinetobacter bohemicus ANC 3994	52.67
Marinobacter nitratireducens AK21	Pseudomonas anguilliseptica DSM 12111	56.63
Marinobacter nitratireducens AK21	Marinomonas fungiae JCM 18476	55.51
Marinobacter nitratireducens AK21	Azotobacter chroococcum NCIMB 8003	57.18
Marinobacter nitratireducens AK21	Acinetobacter celticus ANC 4603	52.60
Marinobacter nitratireducens AK21	Halomonas halodenitrificans DSM 735	57.43
Marinobacter nitratireducens AK21	Moraxella osloensis CCUG 350	52.23
Marinobacter nitratireducens AK21	Zymobacter palmae DSM 10491	55.09
Marinobacter nitratireducens AK21	Acinetobacter equi 114	53.22
Marinobacter nitratireducens AK21	Marinobacter hydrocarbonoclasticus ATCC 49840	78.50
Marinobacter nitratireducens AK21	Pseudomonas borbori DSM 17834	56.91
Marinobacter nitratireducens AK21	Marinagarivorans algicola Z1	55.09
Marinobacter nitratireducens AK21	Acinetobacter beijerinckii CIP 110307	52.77
Marinobacter nitratireducens AK21	Halomonas shengliensis CGMCC 1.6444	57.73
Marinobacter nitratireducens AK21	Marinobacter segnicrescens CGMCC 1.6489	72.11
Marinobacter nitratireducens AK21	Alcanivorax hongdengensis A-11-3	56.84
Marinobacter nitratireducens AK21	Moraxella ovis 199/55	52.06
Marinobacter nitratireducens AK21	Carnimonas nigrificans ATCC BAA-78	55.18
Marinobacter nitratireducens AK21	Pseudomonas mendocina ymp	56.98
Marinobacter nitratireducens AK21	Acinetobacter nectaris CIP 110549	52.81
Marinobacter nitratireducens AK21	Marinobacter adhaerens HP15	80.40
Marinobacter nitratireducens AK21	Pseudomonas kuykendallii NRRL B-59562	56.72
Marinobacter nitratireducens AK21	Halomonas halocynthiae DSM 14573	57.04
Marinobacter nitratireducens AK21	Acinetobacter towneri CIP 107472	53.04
Marinobacter nitratireducens AK21	Halomonas pantelleriensis AAP	56.77
Marinobacter nitratireducens AK21	Marinimicrobium agarilyticum DSM 16975	56.29
Marinobacter nitratireducens AK21	Acinetobacter soli GFJ2	52.74
Marinobacter nitratireducens AK21	Alcanivorax jadensis T9	56.34
Marinobacter nitratireducens AK21	Pseudomonas otitidis DSM 17224	56.59
Marinobacter nitratireducens AK21	Kushneria aurantia DSM 21353	54.91
Marinobacter nitratireducens AK21	Acinetobacter defluvii WCHA30	52.99
Marinobacter nitratireducens AK21	Marinomonas aquimarina CECT 5080	55.50
Marinobacter nitratireducens AK21	Marinobacter salarius R9SW1	77.02
Marinobacter nitratireducens AK21	Microbulbifer marinus CGMCC 1.10657	56.57
Marinobacter nitratireducens AK21	Moraxella cuniculi DSM 21768	51.62
Marinobacter nitratireducens AK21	Pseudomonas fuscovaginae LMG 2158	56.01
Marinobacter nitratireducens AK21	Acinetobacter radioresistens CIP 103788	53.08
Marinobacter nitratireducens AK21	Oblitimonas alkaliphila B4199	57.34
Marinobacter nitratireducens AK21	Hahella ganghwensis DSM 17046	58.73
Marinobacter nitratireducens AK21	Pseudomonas sagittaria JCM 18195	57.30
Marinobacter nitratireducens AK21	Halomonas boliviensis LC1	57.18
Marinobacter nitratireducens AK21	Ventosimonas gracilis CV58	56.32
Marinobacter nitratireducens AK21	Halomonas salina B6	57.72
Marinobacter nitratireducens AK21	Marinobacter subterrani JG233	80.62
Marinobacter nitratireducens AK21	Moraxella catarrhalis BBH18	51.84
Marinobacter nitratireducens AK21	Mangrovitalea sediminis M11-4	64.17
Marinobacter nitratireducens AK21	Halomonas daqiaonensis CGMCC 1.9150	57.74
Marinobacter nitratireducens AK21	Acinetobacter parvus CIP 108168	53.26
Marinobacter nitratireducens AK21	Neptunomonas phycophila CECT 8716	56.61
Marinobacter nitratireducens AK21	Pseudomonas oryzae KCTC 32247	57.26
Marinobacter nitratireducens AK21	Halomonas xinjiangensis TRM 0175	57.42
Marinobacter nitratireducens AK21	Dasania marina DSM 21967	55.03
Marinobacter nitratireducens AK21	Halomonas taeanensis BH539	57.24
Marinobacter nitratireducens AK21	Teredinibacter turnerae T7901	55.28
Marinobacter nitratireducens AK21	Marinobacterium profundum PAMC 27536	57.32
Marinobacter nitratireducens AK21	Marinomonas mediterranea MMB-1	54.79
Marinobacter nitratireducens AK21	Pseudomonas resinovorans NBRC 106553	56.57
Marinobacter nitratireducens AK21	Acinetobacter indicus CIP 110367	53.15
Marinobacter nitratireducens AK21	Pseudomonas fulva 12-X	56.59
Marinobacter nitratireducens AK21	Tamilnaduibacter salinus DSM 28688	68.11
Marinobacter nitratireducens AK21	Terasakiispira papahanaumokuakeensis PH27A	56.91
Marinobacter nitratireducens AK21	Nitrincola lacisaponensis 4CA	56.97
Marinobacter nitratireducens AK21	Psychrobacter phenylpyruvicus DSM 7000	52.40
Marinobacter nitratireducens AK21	Neptuniibacter caesariensis MED92	56.83
Marinobacter nitratireducens AK21	Marinobacter antarcticus CGMCC 1.10835	78.76
Marinobacter nitratireducens AK21	Acinetobacter apis ANC 5114	52.89
Marinobacter nitratireducens AK21	Cobetia crustatorum JO1	56.99
Marinobacter nitratireducens AK21	Acinetobacter schindleri ACE	53.11
Marinobacter nitratireducens AK21	Halomonas cupida DSM 4740	56.74
Marinobacter nitratireducens AK21	Spongiibacter tropicus DSM 19543	56.11
Marinobacter nitratireducens AK21	Neptuniibacter marinus ATR 1.1	56.94
Marinobacter nitratireducens AK21	Psychrobacter pacificensis DSM 23406	52.07
Marinobacter nitratireducens AK21	Pseudomonas xinjiangensis NRRL B-51270	57.40
Marinobacter nitratireducens AK21	Marinobacterium georgiense DSM 11526	57.98
Marinobacter nitratireducens AK21	Acinetobacter johnsonii XBB1	52.69
Marinobacter nitratireducens AK21	Marinobacterium jannaschii DSM 6295	56.56
Marinobacter nitratireducens AK21	Halomonas anticariensis FP35	57.35
Marinobacter nitratireducens AK21	Pseudomonas sabulinigri JCM 14963	57.51
Marinobacter nitratireducens AK21	Pseudohaliea rubra DSM 19751	55.69
Marinobacter nitratireducens AK21	Pseudomonas saudimassiliensis 12M76 air	57.84
Marinobacter nitratireducens AK21	Marinomonas profundimaris D104	55.33
Marinobacter nitratireducens AK21	Halotalea alkalilenta IHB B 13600	54.89
Marinobacter nitratireducens AK21	Perlucidibaca piscinae DSM 21586	55.91
Marinobacter nitratireducens AK21	Alcanivorax pacificus W11-5	56.39
Marinobacter nitratireducens AK21	Marinobacter salinus Hb8	81.58
Marinobacter nitratireducens AK21	Kangiella sediminilitoris KCTC 23892	53.77
Marinobacter nitratireducens AK21	Pseudomonas zeshuii KACC 15471	56.59
Marinobacter nitratireducens AK21	Alcanivorax dieselolei B5	56.38
Marinobacter nitratireducens AK21	Psychrobacter alimentarius PAMC 27889	51.78
Marinobacter nitratireducens AK21	Marinobacter persicus IBRC-M 10445	76.77
Marinobacter nitratireducens AK21	Marinomonas polaris DSM 16579	55.00
Marinobacter nitratireducens AK21	Pseudomonas formosensis JCM 18415	57.83
Marinobacter nitratireducens AK21	Halomonas elongata HEK1	57.72
Marinobacter nitratireducens AK21	Rugamonas rubra ATCC 43154	50.10
Marinobacter nitratireducens AK21	Halomonas aestuarii Hb3	57.86
Microbulbifer mangrovi DD-13	Cobetia marina JCM 21022	54.92
Microbulbifer mangrovi DD-13	Simiduia agarivorans SA1 = DSM 21679	59.16
Microbulbifer mangrovi DD-13	Pseudomonas salegens CECT 8338	56.62
Microbulbifer mangrovi DD-13	Pseudomonas stutzeri CGMCC 1.1803	56.13
Microbulbifer mangrovi DD-13	Pseudomonas nitroreducens NBRC 12694	55.56
Microbulbifer mangrovi DD-13	Acinetobacter tandoii CIP 107469	52.31
Microbulbifer mangrovi DD-13	Oleiphilus messinensis ME102	55.83
Microbulbifer mangrovi DD-13	Pseudomonas guineae LMG 24016	56.05
Microbulbifer mangrovi DD-13	Pseudomonas guangdongensis CCTCC 2012022	57.39
Microbulbifer mangrovi DD-13	Gilvimarinus chinensis DSM 19667	59.02
Microbulbifer mangrovi DD-13	Pseudomonas pachastrellae JCM 12285	56.51
Microbulbifer mangrovi DD-13	Marinobacter zhejiangensis CGMCC 1.7061	56.52
Microbulbifer mangrovi DD-13	Spongiibacter marinus DSM 19753	57.95
Microbulbifer mangrovi DD-13	Acinetobacter bouvetii CIP 107468	52.43
Microbulbifer mangrovi DD-13	Cellvibrio mixtus J3-8	58.09
Microbulbifer mangrovi DD-13	Marinobacter lipolyticus SM19	56.16
Microbulbifer mangrovi DD-13	Pseudomonas rhizosphaerae DSM 16299	55.89
Microbulbifer mangrovi DD-13	Marinobacterium stanieri DSM 7027	56.71
Microbulbifer mangrovi DD-13	Moraxella caprae DSM 19149	51.71
Microbulbifer mangrovi DD-13	Hahella chejuensis KCTC 2396	55.21
Microbulbifer mangrovi DD-13	Acinetobacter harbinensis HITLi 7	52.54
Microbulbifer mangrovi DD-13	Saccharospirillum impatiens DSM 12546	55.06
Microbulbifer mangrovi DD-13	Psychrobacter arcticus 273-4	51.80
Microbulbifer mangrovi DD-13	Perlucidibaca aquatica BK296	55.51
Microbulbifer mangrovi DD-13	Marinospirillum celere DSM 18438	56.22
Microbulbifer mangrovi DD-13	Halomonas muralis DSM 14789	55.47
Microbulbifer mangrovi DD-13	Halomonas campaniensis LS21	55.27
Microbulbifer mangrovi DD-13	Pseudomonas taeanensis MS-3	56.05
Microbulbifer mangrovi DD-13	Pseudomonas pohangensis DSM 17875	56.08
Microbulbifer mangrovi DD-13	Alkanindiges illinoisensis DSM 15370	52.98
Microbulbifer mangrovi DD-13	Acinetobacter qingfengensis ANC 4671	52.34
Microbulbifer mangrovi DD-13	Acinetobacter baumannii AB030	52.64
Microbulbifer mangrovi DD-13	Endozoicomonas atrinae WP70	55.98
Microbulbifer mangrovi DD-13	Marinobacterium rhizophilum DSM 18822	56.54
Microbulbifer mangrovi DD-13	Halomonas smyrnensis AAD6	55.84
Microbulbifer mangrovi DD-13	Pseudomonas azotifigens DSM 17556	56.29
Microbulbifer mangrovi DD-13	Neptunomonas qingdaonensis CGMCC 1.10971	56.37
Microbulbifer mangrovi DD-13	Azotobacter vinelandii CA	56.33
Microbulbifer mangrovi DD-13	Endozoicomonas montiporae CL-33	56.19
Microbulbifer mangrovi DD-13	Marinobacter santoriniensis NKSG1	56.36
Microbulbifer mangrovi DD-13	Moraxella oblonga NBRC 102422	51.64
Microbulbifer mangrovi DD-13	Cellvibrio japonicus Ueda107	58.96
Microbulbifer mangrovi DD-13	Microbulbifer agarilyticus GP101	81.45
Microbulbifer mangrovi DD-13	Acinetobacter gyllenbergii NIPH 230	52.23
Microbulbifer mangrovi DD-13	Acinetobacter boissieri ANC 4422	52.37
Microbulbifer mangrovi DD-13	Bermanella marisrubri RED65	55.16
Microbulbifer mangrovi DD-13	Marinomonas ushuaiensis DSM 15871	55.22
Microbulbifer mangrovi DD-13	Pseudomonas marincola JCM 14761	55.63
Microbulbifer mangrovi DD-13	Acinetobacter rudis DSM 24031	52.20
Microbulbifer mangrovi DD-13	Pseudomonas litoralis 2SM5	56.71
Microbulbifer mangrovi DD-13	Oceanicoccus sagamiensis NBRC 107125	57.73
Microbulbifer mangrovi DD-13	Marinomonas posidonica IVIA-Po-181	55.18
Microbulbifer mangrovi DD-13	Acinetobacter populi PBJ7	52.63
Microbulbifer mangrovi DD-13	Moraxella nonliquefaciens CCUG 348	51.51
Microbulbifer mangrovi DD-13	Congregibacter litoralis KT71	56.04
Microbulbifer mangrovi DD-13	Halomonas zincidurans B6	55.63
Microbulbifer mangrovi DD-13	Acinetobacter larvae BRTC-1	52.45
Microbulbifer mangrovi DD-13	Pseudomonas hussainii JCM 19513	56.98
Microbulbifer mangrovi DD-13	Pseudomonas caeni DSM 24390	56.44
Microbulbifer mangrovi DD-13	Kushneria marisflavi SW32	53.98
Microbulbifer mangrovi DD-13	Acinetobacter junii 65	52.62
Microbulbifer mangrovi DD-13	Halomonas lutea DSM 23508	55.69
Microbulbifer mangrovi DD-13	Halomonas saccharevitans CGMCC 1.6493	55.60
Microbulbifer mangrovi DD-13	Haliea salexigens DSM 19537	57.21
Microbulbifer mangrovi DD-13	Pseudomonas protegens CHA0	54.91
Microbulbifer mangrovi DD-13	Alcanivorax borkumensis SK2	56.33
Microbulbifer mangrovi DD-13	Halioglobus pacificus RR3-57	56.71
Microbulbifer mangrovi DD-13	Marinomonas atlantica Cmf 18.22	55.59
Microbulbifer mangrovi DD-13	Chromohalobacter salexigens DSM 3043	55.22
Microbulbifer mangrovi DD-13	Pseudomonas aestusnigri VGXO14	56.49
Microbulbifer mangrovi DD-13	Halomonas subterranea CGMCC 1.6495	55.30
Microbulbifer mangrovi DD-13	Halomonas desiderata SP1	55.55
Microbulbifer mangrovi DD-13	Gilvimarinus agarilyticus JEA5	58.91
Microbulbifer mangrovi DD-13	Pseudomonas psychrotolerans PRS08-11306	55.59
Microbulbifer mangrovi DD-13	Chromohalobacter japonicus CJ	55.05
Microbulbifer mangrovi DD-13	Marinobacter excellens HL-55	56.07
Microbulbifer mangrovi DD-13	Moraxella lincolnii CCUG 9405	52.03
Microbulbifer mangrovi DD-13	Acinetobacter gerneri CIP 107464	52.45
Microbulbifer mangrovi DD-13	Saccharophagus degradans 2-40	58.43
Microbulbifer mangrovi DD-13	Halioglobus japonicus NBRC 107739	57.20
Microbulbifer mangrovi DD-13	Halomonas utahensis P-halo	55.46
Microbulbifer mangrovi DD-13	Gynuella sunshinyii YC6258	54.72
Microbulbifer mangrovi DD-13	Pseudomonas pelagia CL-AP6	56.23
Microbulbifer mangrovi DD-13	Halomonas jeotgali Hwa	55.64
Microbulbifer mangrovi DD-13	Microbulbifer variabilis ATCC 700307	71.66
Microbulbifer mangrovi DD-13	Amphritea japonica JAMM 1866	56.79
Microbulbifer mangrovi DD-13	Aidingimonas halophila DSM 19219	55.20
Microbulbifer mangrovi DD-13	Psychrobacter urativorans R10.10B	51.18
Microbulbifer mangrovi DD-13	Endozoicomonas numazuensis DSM 25634	56.04
